English Word,Hebrew Translation,Difficulty Level,Source,Example Sentence
"accurate, inaccurate, accuracy, accurately",,8,band33july18,
"achieve, achievement",,8,band33july18,n
"acknowledge, acknowledgment, acknowledged",,8,band33july18,
"acquire, acquisition",,8,band33july18,n
"act, inactive, actor",,8,band33july18,
"adapt, adapted, adaptation",,8,band33july18,
"additional, additionally",,8,band33july18,
"adequate, adequately, inadequate",,8,band33july18,
"adopt, adoption",,8,band33july18,n
"adjust, adjustment",,8,band33july18,n
"advance, advanced",,8,band33july18,
"afford, affordable",,8,band33july18,
"agent, agency",,8,band33july18,n
"aggression, aggressive behavior",,8,band33july18,
"agreement, in agreement",,8,band33july18,
"agriculture, agricultural",,8,band33july18,adj
"alter, alteration",,8,band33july18,n
"analyze, analysis",,8,band33july18,n
"announce, announcement",,8,band33july18,n
"anxious, anxiety",,8,band33july18,n
"apparent, apparently",,8,band33july18,adv
"appreciate, appreciation",,8,band33july18,n
"approve, approval",,8,band33july18,n
"aspire, aspiration",,8,band33july18,n
"assist, assistance",,8,band33july18,n
"associate, association",,8,band33july18,n
"assume, assumption",,8,band33july18,n
"attachment, attach",,8,band33july18,v
"attend, attendance",,8,band33july18,n
"attract, attraction, attractive",,8,band33july18,n
"autonomy, autonomous",,8,band33july18,adj
"benefit, beneficial",,8,band33july18,adj
"biology, biological",,8,band33july18,adj
"breath, breathe",,8,band33july18,v
"brief, briefly",,8,band33july18,adv
"calculate, calculation",,8,band33july18,n
"capable, capability",,8,band33july18,n
"central, centrally",,8,band33july18,adv
"chair (man, woman, person)",,8,band33july18,She was chair of the committee.
"chemistry, chemical",,8,band33july18,adj
"citizen, citizenship",,8,band33july18,
"civil, civilian",,8,band33july18,adj
"civilized, civilization",,8,band33july18,n
"clarify, clarification",,8,band33july18,n
"combine, combination",,8,band33july18,n
"commerce, commercial",,8,band33july18,adj
"commit, commitment",,8,band33july18,Commit a crime. They committed themselves. They were committed to helping the poor. It was a serious commitment.
"comparison, comparative",,8,band33july18,adj
"compete, competition, competitive",,8,band33july18,n
"compose, composition",,8,band33july18,n
"comprehend, comprehension",,8,band33july18,n
"comprise, comprised of",,8,band33july18,adj
"concentrate, concentration",,8,band33july18,n
"concern, concerned",,8,band33july18,adj
"conclusion, conclude",,8,band33july18,v
"confident, confidence",,8,band33july18,n
"confirm, confirmation",,8,band33july18,n
"consequence, consequently",,8,band33july18,adv
"considerable, considerably",,8,band33july18,adv
"consistent, consistently",,8,band33july18,adv
"constant, constantly",,8,band33july18,adv
"construct, construction",,8,band33july18,n
"consume, consumer",,8,band33july18,n
"contain, container",,8,band33july18,n
"continuous, continuously",,8,band33july18,adv
"contribute, contribution",,8,band33july18,n
"convention, conventional",,8,band33july18,adj
